formula_pretty,number,band_gap,cbm,source,note
Al2CoO4,156,2.2747,8.0729,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-674336; score=2.643
Ba(FeO2)2,182,0.967,,auto_ml_correction_v1,auto ekleme; mp=mp-19285; raw_bg=0.0000; pred_bg=0.9670; conf=0.777; gate_relaxed=False
Ba2ErCuNi2O7,47,0.8245,,auto_ml_correction_v1,auto ekleme; mp=mp-1214712; raw_bg=0.0000; pred_bg=0.8245; conf=0.786; gate_relaxed=True
Ba2Fe2O5,14,1.4173,3.8258,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-654312; score=2.655
Ba2FeO4,14,1.9954,3.2775,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-542120; score=2.680
Ba2YCu3(PbO4)2,17,0.7077,,auto_ml_correction_v1,auto ekleme; mp=mp-1200772; raw_bg=0.0000; pred_bg=0.7077; conf=0.771; gate_relaxed=True
Ba8Mn8O21,6,0.8045,3.5798,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-694888; score=3.020
BaV13O18,148,1.1981,,auto_ml_correction_v1,auto ekleme; mp=mp-510249; raw_bg=0.0000; pred_bg=1.1981; conf=0.758; gate_relaxed=False
Ca3V3(CuO6)2,230,0.9421,,auto_ml_correction_v1,auto ekleme; mp=mp-1214197; raw_bg=0.0000; pred_bg=0.9421; conf=0.791; gate_relaxed=False
CaCo4(CuO4)3,204,0.7465,,auto_ml_correction_v1,auto ekleme; mp=mp-1043073; raw_bg=0.0000; pred_bg=0.7465; conf=0.851; gate_relaxed=True
CaFe4(CuO4)3,204,0.7543,,auto_ml_correction_v1,auto ekleme; mp=mp-1043124; raw_bg=0.0000; pred_bg=0.7543; conf=0.868; gate_relaxed=True
CaTi4(CuO4)3,204,0.6075,,auto_ml_correction_v1,auto ekleme; mp=mp-22592; raw_bg=0.0000; pred_bg=0.6075; conf=0.835; gate_relaxed=True
Co(RhO2)2,227,1.3546,,auto_ml_correction_v1,auto ekleme; mp=mp-546936; raw_bg=0.0000; pred_bg=1.3546; conf=0.776; gate_relaxed=True
Co2GeO4,74,0.7827,,auto_ml_correction_v1,auto ekleme; mp=mp-548805; raw_bg=0.0000; pred_bg=0.7827; conf=0.765; gate_relaxed=False
Co2GeO4,227,0.9175,,auto_ml_correction_v1,auto ekleme; mp=mp-18758; raw_bg=0.0000; pred_bg=0.9175; conf=0.752; gate_relaxed=False
Co2NiO4,74,0.6626,,auto_ml_correction_v1,auto ekleme; mp=mp-38683; raw_bg=0.0000; pred_bg=0.6626; conf=0.794; gate_relaxed=True
Co2SnO4,74,0.6094,,auto_ml_correction_v1,auto ekleme; mp=mp-36028; raw_bg=0.0000; pred_bg=0.6094; conf=0.774; gate_relaxed=False
Co3O4,166,1.7,,experimental_literature,Spinel Co3O4 icin literaturde bildirilen tipik band araligi (yaklasik).
Co3O4,227,0.8243,,auto_ml_correction_v1,auto ekleme; mp=mp-18748; raw_bg=0.0000; pred_bg=0.8243; conf=0.798; gate_relaxed=True
Co5O8,216,1.2372,,auto_ml_correction_v1,auto ekleme; mp=mp-761471; raw_bg=0.0000; pred_bg=1.2372; conf=0.781; gate_relaxed=True
Co5RuO8,166,0.7676,,auto_ml_correction_v1,auto ekleme; mp=mp-35690; raw_bg=0.0000; pred_bg=0.7676; conf=0.770; gate_relaxed=True
Co5SbO8,166,1.0437,,auto_ml_correction_v1,auto ekleme; mp=mp-33332; raw_bg=0.0000; pred_bg=1.0437; conf=0.795; gate_relaxed=True
Co7(SbO6)2,12,0.9591,,auto_ml_correction_v1,auto ekleme; mp=mp-1226238; raw_bg=0.0000; pred_bg=0.9591; conf=0.781; gate_relaxed=True
Co8As3O16,12,0.6211,,auto_ml_correction_v1,auto ekleme; mp=mp-699375; raw_bg=0.0000; pred_bg=0.6211; conf=0.769; gate_relaxed=False
CoAuO2,194,0.7335,,auto_ml_correction_v1,auto ekleme; mp=mp-997158; raw_bg=0.0000; pred_bg=0.7335; conf=0.804; gate_relaxed=True
CoNiO3,148,1.3102,,auto_ml_correction_v1,auto ekleme; mp=mp-1178424; raw_bg=0.0000; pred_bg=1.3102; conf=0.776; gate_relaxed=True
CoO,225,0.7616,,auto_ml_correction_v1,auto ekleme; mp=mp-19079; raw_bg=0.0000; pred_bg=0.7616; conf=0.850; gate_relaxed=True
CoO2,5,0.9644,,auto_ml_correction_v1,auto ekleme; mp=mp-1178540; raw_bg=0.0000; pred_bg=0.9644; conf=0.847; gate_relaxed=True
CoPtO2,166,0.7413,,auto_ml_correction_v1,auto ekleme; mp=mp-19210; raw_bg=0.0000; pred_bg=0.7413; conf=0.806; gate_relaxed=True
CoSnH12(OF)6,148,2.2879,,auto_ml_correction_v1,auto ekleme; mp=mp-24003; raw_bg=0.0000; pred_bg=2.2879; conf=0.785; gate_relaxed=False
Cr2O3,167,3.1,,experimental_literature,Cr2O3 icin literaturde bildirilen tipik optik band araligi (yaklasik).
Cr6O11,2,1.3913,,auto_ml_correction_v1,auto ekleme; mp=mp-1213798; raw_bg=0.0000; pred_bg=1.3913; conf=0.801; gate_relaxed=False
CrAuO2,194,1.6069,,auto_ml_correction_v1,auto ekleme; mp=mp-997159; raw_bg=0.0000; pred_bg=1.6069; conf=0.767; gate_relaxed=False
CrH10SO9,2,2.8694,,auto_ml_correction_v1,auto ekleme; mp=mp-1202852; raw_bg=0.0000; pred_bg=2.8694; conf=0.762; gate_relaxed=False
CrO,2,1.0811,,auto_ml_correction_v1,auto ekleme; mp=mp-1302566; raw_bg=0.0000; pred_bg=1.0811; conf=0.792; gate_relaxed=False
CrO,66,0.6262,,auto_ml_correction_v1,auto ekleme; mp=mp-1283577; raw_bg=0.0000; pred_bg=0.6262; conf=0.793; gate_relaxed=False
CrO2,58,1.3004,,auto_ml_correction_v1,auto ekleme; mp=mp-21395; raw_bg=0.0000; pred_bg=1.3004; conf=0.761; gate_relaxed=False
CrO2,113,0.9874,,auto_ml_correction_v1,auto ekleme; mp=mp-1281333; raw_bg=0.0147; pred_bg=0.9874; conf=0.765; gate_relaxed=False
CrO2,136,1.4862,,auto_ml_correction_v1,auto ekleme; mp=mp-19177; raw_bg=0.0000; pred_bg=1.4862; conf=0.767; gate_relaxed=False
CrPdO2,166,0.7218,,auto_ml_correction_v1,auto ekleme; mp=mp-1063607; raw_bg=0.0000; pred_bg=0.7218; conf=0.767; gate_relaxed=True
CrPtO2,166,1.5652,,auto_ml_correction_v1,auto ekleme; mp=mp-755584; raw_bg=0.0000; pred_bg=1.5652; conf=0.760; gate_relaxed=True
CrSiH12(OF)6,148,3.9202,,auto_ml_correction_v1,auto ekleme; mp=mp-39540; raw_bg=0.0000; pred_bg=3.9202; conf=0.759; gate_relaxed=False
CsVH12(C2O7)2,12,2.8756,,auto_ml_correction_v1,auto ekleme; mp=mp-698264; raw_bg=0.0359; pred_bg=2.8756; conf=0.774; gate_relaxed=False
Cu3(SbO3)4,204,0.6357,,auto_ml_correction_v1,auto ekleme; mp=mp-1042691; raw_bg=0.0000; pred_bg=0.6357; conf=0.823; gate_relaxed=True
CuPO4,14,0.3277,1.7958,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-504265; score=3.020
DyFe4(CuO4)3,204,0.9358,,auto_ml_correction_v1,auto ekleme; mp=mp-1189224; raw_bg=0.0000; pred_bg=0.9358; conf=0.849; gate_relaxed=True
Er2Mn2O7,227,1.1678,3.7054,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-19256; score=3.020
EuCu(MoO4)2,61,0.6155,,auto_ml_correction_v1,auto ekleme; mp=mp-560455; raw_bg=0.0000; pred_bg=0.6155; conf=0.799; gate_relaxed=True
Fe(SbO3)2,136,0.5366,5.4203,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-505009; score=3.020
Fe2O3,167,2.15,,experimental_literature,Hematit Fe2O3 icin tipik optik band araligi (oda sicakligi civari).
Fe3BO5,10,1.6275,,auto_ml_correction_v1,auto ekleme; mp=mp-504752; raw_bg=0.0205; pred_bg=1.6275; conf=0.790; gate_relaxed=False
Fe3O4,12,1.3633,,auto_ml_correction_v1,auto ekleme; mp=mp-715811; raw_bg=0.0320; pred_bg=1.3633; conf=0.822; gate_relaxed=False
Fe3O4,74,1.2031,,auto_ml_correction_v1,auto ekleme; mp=mp-31770; raw_bg=0.0000; pred_bg=1.2031; conf=0.836; gate_relaxed=False
Fe3O4,227,1.2587,,auto_ml_correction_v1,auto ekleme; mp=mp-19306; raw_bg=0.0000; pred_bg=1.2587; conf=0.830; gate_relaxed=False
Fe5SnO8,166,1.0133,,auto_ml_correction_v1,auto ekleme; mp=mp-690495; raw_bg=0.0000; pred_bg=1.0133; conf=0.803; gate_relaxed=False
FeHO2,62,1.2851,0.1449,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-625275; score=2.508
FeO,12,1.0337,,auto_ml_correction_v1,auto ekleme; mp=mp-1178232; raw_bg=0.0000; pred_bg=1.0337; conf=0.815; gate_relaxed=False
FeO,139,1.498,,auto_ml_correction_v1,auto ekleme; mp=mp-715262; raw_bg=0.0000; pred_bg=1.4980; conf=0.817; gate_relaxed=False
FeOF,14,0.6729,,auto_ml_correction_v1,auto ekleme; mp=mp-759543; raw_bg=0.0000; pred_bg=0.6729; conf=0.869; gate_relaxed=False
FeOF,84,1.5198,,auto_ml_correction_v1,auto ekleme; mp=mp-1178215; raw_bg=0.0000; pred_bg=1.5198; conf=0.889; gate_relaxed=False
FeOF,92,1.9482,,auto_ml_correction_v1,auto ekleme; mp=mp-675006; raw_bg=0.0000; pred_bg=1.9482; conf=0.889; gate_relaxed=False
Ge,227,0.67,,experimental_literature,Diamond-Ge icin oda sicakliginda tipik dolayli band araligi.
HgTe,216,0.0,,experimental_literature,HgTe yarimetal/ters bant yapisi nedeniyle efektif band araligi 0 eV civari kabul edildi.
HoCoO3,62,0.162,1.6791,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-1188609; score=2.280
HoFe4(CuO4)3,204,0.9804,,auto_ml_correction_v1,auto ekleme; mp=mp-1106004; raw_bg=0.0000; pred_bg=0.9804; conf=0.849; gate_relaxed=True
K(CoO2)2,59,0.2643,2.3055,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-752629; score=3.020
K3FeO4,62,0.2433,0.6144,mp_api_filtered_advanced,api_filter method=GGA+U; run_type=GGA+U; is_hubbard=True; mp=mp-28696; score=2.680
K3Mn4O8,1,0.4875,2.7449,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-1003764; score=3.020
KMn2O4,2,0.4357,2.2457,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-1003314; score=3.020
KMn2O4,11,0.3196,2.1864,mp_api_filtered_advanced,api_filter method=R2SCAN; run_type=r2SCAN; is_hubbard=False; mp=mp-763541; score=3.020
La2Cu2O5,84,1.3636,,auto_ml_correction_v1,auto ekleme; mp=mp-1147637; raw_bg=0.0000; pred_bg=1.3636; conf=0.829; gate_relaxed=True
La3Co2CuO9,165,1.1161,,auto_ml_correction_v1,auto ekleme; mp=mp-1223344; raw_bg=0.0450; pred_bg=1.1161; conf=0.842; gate_relaxed=True
La3Cu4(P2O)2,139,0.6189,,auto_ml_correction_v1,auto ekleme; mp=mp-6309; raw_bg=0.0000; pred_bg=0.6189; conf=0.776; gate_relaxed=True
